properties.id,properties.name,properties.proposer,properties.status.id,properties.status.name,properties.district,properties.year,properties.budget,properties.detail,properties.category.name,properties.image,latitude,longitude,category_category,category.status,ObjectId,x,y
1988,Tyršův GRIL,Ondrej Jurasek,14,nezískal podporu,Brno - Střed,2022,1240000,https://paro.damenavas.cz/projekt/?id=1988,Zábava,https://paro.damenavas.cz/wp-content/uploads/2022/05/1-24-01-300x225.jpg,49.202723222619,16.6027392017605,failed,"Zábava, failed",331,1848208.4737135,6309329.54954798
2009,Odpočinkové lavičky – Brno-Vinohrady 2,Luděk Hodboď,15,nevítězný,Brno - Vinohrady,2023,1580000,https://paro.damenavas.cz/projekt/?id=2009,Senioři,https://paro.damenavas.cz/wp-content/uploads/2023/02/Novy_chodnik_u_Alberta_2-225x300.jpg,49.207775099285,16.6614291016343,failed,"Senioři, failed",332,1854741.80348216,6310190.29993226
2010,Rozšíření parkoviště u Obory Holedná,Jan Slaný,6,neproveditelný,Brno - Žebětín,2023,4900000,https://paro.damenavas.cz/projekt/?id=2010,Doprava,https://paro.damenavas.cz/wp-content/uploads/2023/02/IMG_20170525_170413-300x169.jpg,49.199758094337,16.517397668006,failed,"Doprava, failed",333,1838708.29763243,6308824.38511153
2012,Vybudování šikmého parkování,Petr Gladiš,15,nevítězný,Brno - Nový Lískovec,2023,5000000,https://paro.damenavas.cz/projekt/?id=2012,Doprava,https://paro.damenavas.cz/wp-content/uploads/2023/02/Výstcřižek-1-300x256.png,49.176644556121,16.557926105038,failed,"Doprava, failed",334,1843219.90260548,6304887.60423318
2014,Osvětlení na úpatí Kraví hory,Petr Kaňkowski,14,nezískal podporu,Brno - Střed,2023,107500,https://paro.damenavas.cz/projekt/?id=2014,Doprava,https://paro.damenavas.cz/wp-content/uploads/2023/02/IMG_5020-300x225.jpg,49.206719880988,16.5891024444075,failed,"Doprava, failed",335,1846690.43682889,6310010.50214179
2016,Pomník parašutistům skupiny SILVER B,Josef Šlesinger,15,nevítězný,Brno - Řečkovice A Mokrá Hora,2023,940000,https://paro.damenavas.cz/projekt/?id=2016,Kultura,https://paro.damenavas.cz/wp-content/uploads/2023/02/para-1-300x168.jpg,49.241835724805,16.5798228636465,failed,"Kultura, failed",336,1845657.4386238,6315995.92452914
2017,Pomozme zvířatům,Lenka Pillerová,15,nevítězný,Brno,2023,5000000,https://paro.damenavas.cz/projekt/?id=2017,Zvířata,https://paro.damenavas.cz/wp-content/uploads/2023/02/squirrel-5263756_1920-300x300.jpg,49.19498,16.608303,failed,"Zvířata, failed",337,1848827.8329004,6308010.41210166
2018,Zeleň na Moravském náměstí,Jaromír Franc,6,neproveditelný,Brno - Střed,2023,2560000,https://paro.damenavas.cz/projekt/?id=2018,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2023/02/růže-3-300x169.jpg,49.199716446792,16.6082895506165,failed,"Zeleň, failed",338,1848826.33572188,6308817.28989775
2020,Úprava šířky parkovacích míst – Nový Lískovec,Petr Gladiš,6,neproveditelný,Brno - Nový Lískovec,2023,430000,https://paro.damenavas.cz/projekt/?id=2020,Doprava,https://paro.damenavas.cz/wp-content/uploads/2023/02/mapy-1-300x177.png,49.17524281205,16.5591054853063,failed,"Doprava, failed",339,1843351.1906164,6304648.9132812
2029,Toulky brněnskou minulostí,Pavel Benda,15,nevítězný,Brno,2023,850000,https://paro.damenavas.cz/projekt/?id=2029,Kultura,https://paro.damenavas.cz/wp-content/uploads/2023/09/Ranšínova-300x232.jpg,49.19498,16.608303,failed,"Kultura, failed",340,1848827.8329004,6308010.41210166
