properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
2391;Pumptrack s prvky skateparku pro všechny;Petra Pašová;5;proveditelný;Brno - Ivanovice;2024;4940000;https://paro.damenavas.cz/projekt/?id=2391;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/05/Ivanovice_pumptrack_foto-lokality_draha_navrh-229x300.png;49,25858092;16,56885176;got approval;Sport, got approval;1014;1844436,141;6318851,606
2396;Fandr pro všechny – oživme hřiště;Dominika Rajská;5;proveditelný;Brno - Žabovřesky;2024;5000000;https://paro.damenavas.cz/projekt/?id=2396;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/718b6818-85f3-4148-a16e-1bfd261e91c8-300x300.jpg;49,21071239;16,57500043;got approval;Děti, got approval;1015;1845120,608;6310690,804
2398;Kompletní obnova dětského hřiště na ulici Bílovické;Zuzana  Rožcová;5;proveditelný;Brno - Maloměřice A Obřany;2024;2890000;https://paro.damenavas.cz/projekt/?id=2398;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/06/Hřiště-současný-stav-300x300.jpg;49,23390162;16,64898073;got approval;Děti, got approval;1016;1853356,057;6314643,201
2399;Multifunkční dětské hřiště v Černovicích;Bc. Elizaveta Sakhicheva;5;proveditelný;Brno - Černovice;2024;4970000;https://paro.damenavas.cz/projekt/?id=2399;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/3-300x185.png;49,17721314;16,6340446;got approval;Děti, got approval;1017;1851693,375;6304984,425
2400;Vzkříšení kostela v Černovicích;Bc. Elizaveta Sakhicheva;6;neproveditelný;Brno - Černovice;2024;4500000;https://paro.damenavas.cz/projekt/?id=2400;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/05/kostel-12-1-300x234.png;49,17610071;16,63889247;failed;Kultura, failed;1018;1852233,037;6304794,997
2404;Holubníky v Brně;Blažena Trtílková;5;proveditelný;Brno;2024;4250000;https://paro.damenavas.cz/projekt/?id=2404;Zvířata;https://paro.damenavas.cz/wp-content/uploads/2024/05/holubnik01-300x261.png;49,19498;16,608303;got approval;Zvířata, got approval;1019;1848827,833;6308010,412
2405;Lavičky u MHD na Husitské;Blažena Trtílková;6;neproveditelný;Brno - Královo Pole;2024;350000;https://paro.damenavas.cz/projekt/?id=2405;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/05/Husitská-300x180.png;49,22416689;16,59406839;failed;Jiné, failed;1020;1847243,243;6312983,776
2406;Komunitní centrum pro setkávání seniorů;Anna Babáková;5;proveditelný;Brno;2024;3000000;https://paro.damenavas.cz/projekt/?id=2406;Senioři;https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/seniori.svg;49,19498;16,608303;got approval;Senioři, got approval;1021;1848827,833;6308010,412
2407;Hřiště na Obilňáku 2.0;Yvet Nováčková;5;proveditelný;Brno - Střed;2024;4950000;https://paro.damenavas.cz/projekt/?id=2407;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/hriste-300x200.jpg;49,19943853;16,59745713;got approval;Děti, got approval;1022;1847620,476;6308769,943
2408;Zeleň a naučné prvky do školních zahrad;Monika  Grimová;5;proveditelný;Brno;2024;4900000;https://paro.damenavas.cz/projekt/?id=2408;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/05/20230805_103053-225x300.jpg;49,19498;16,608303;got approval;Zeleň, got approval;1023;1848827,833;6308010,412
